synopsis,genre
"Two high school students discover that their outside-of-school personas are vastly different from their classroom images. They quickly bond over their shared secrets and form a genuine connection. As they grow closer, they navigate the complexities of teenage romance and self-discovery.",Romance
"The top two students of an elite academy's student council are secretly in love with each other. However, both are too proud to confess first, believing that the one who admits their feelings loses. What follows is a series of hilarious and elaborate psychological battles to force the other's confession.",Romance
"A gentle but intimidating-looking high school boy crosses paths with a tiny, fierce girl known as the Palmtop Tiger. They discover they both have crushes on each other's best friends and reluctantly agree to help one another. Through their chaotic alliance, an unexpected affection begins to bloom.",Romance
"A former child prodigy pianist loses his ability to hear the sound of the piano after a tragic loss. His monochrome life changes completely when he meets a free-spirited and passionate violinist. She forces him back into the world of music, teaching him to play freely and without regrets.",Romance
"After a family tragedy turns her life upside down, a cheerful high school girl moves in with the enigmatic Sohma family. She soon discovers their bizarre secret: they are cursed to turn into animals of the Chinese Zodiac when hugged by the opposite sex. She sets out to heal their emotional wounds and break the ancient curse.",Romance
"An introverted middle school boy with a vivid, dark imagination secretly watches the popular girl in his class. He soon realizes that she is actually quite quirky, clumsy, and obsessed with food. As they share quiet moments in the school library, his sinister fantasies are slowly replaced by genuine affection.",Romance
"Two childhood friends reunite at their new workplace, both hiding their intense otaku hobbies from their coworkers. After sharing complaints about the difficulty of dating as geeks, they decide to simply date each other. Their relationship is a comedic and heartwarming look at balancing adult responsibilities with passionate fandoms.",Romance
"The strict, boy-hating student council president of a former all-boys school works secretly at a maid cafe to support her family. Her secret is discovered by the most popular boy in school, threatening her hard-earned reputation. Instead of exposing her, he becomes a regular at the cafe, sparking a complicated dynamic between them.",Romance
"A quiet high school girl loves pitching her tent alone at the base of Mount Fuji during the off-season. Her solitary routine is disrupted when she befriends a cheerful transfer student who loves outdoor adventures. Together with other friends, they explore the simple joys of winter camping and eating hot food in nature.",Slice-of-life
"A talented but arrogant young calligrapher is exiled to a small, rural island after punching a gallery director. Unused to country living, he struggles to find his artistic voice while constantly interrupted by the energetic local villagers. Through his interactions with the eccentric islanders, especially a spirited little girl, he learns to loosen up and grow.",Slice-of-life
"Four high school girls join the light music club to save it from being disbanded, despite one of them having no musical experience. They spend their days drinking tea, eating sweets, and occasionally practicing their instruments. Slowly, they form a real band and build unforgettable friendships over their high school years.",Slice-of-life
"The daily lives of a group of high school girls and a young genius inventor are anything but ordinary. Their seemingly normal school days are constantly derailed by absurd, surreal, and over-the-top comedic situations. From wrestling deer to epic rock-paper-scissors battles, the mundane becomes entirely unpredictable.",Slice-of-life
"On a terraformed planet formerly known as Mars, a young woman moves to a peaceful city modeled after Venice to become a tour guide. She navigates the beautiful waterways on a gondola, sharing the scenic wonders with visitors. The story captures the slow, gentle beauty of everyday interactions and the changing of the seasons.",Slice-of-life
"Driven by a desire to make the most of her youth, a high school girl teams up with a determined peer whose mother went missing in Antarctica. Together with two other girls, they overcome numerous obstacles and societal doubts to join an expedition to the frozen continent. Their journey is a profound coming-of-age story about grief, friendship, and chasing impossible dreams.",Slice-of-life
"In a quiet, remote village, only five students of varying ages attend the single local school. A transfer student from Tokyo arrives, adjusting to the slow pace of country life where the nearest convenience store is miles away. The group spends their days exploring nature, playing games, and finding joy in rural simplicity.",Slice-of-life
"A high school student swallows a cursed talisman—the finger of a legendary demon—to save his friends from a monster attack. He is subsequently drawn into the hidden world of sorcerers who fight malevolent Curses born from negative human emotions. To destroy the demon within him, he must track down and consume its remaining pieces.",Action
"Two brothers attempt a forbidden alchemical ritual to resurrect their dead mother, resulting in catastrophic physical losses. To restore their bodies, they seek the legendary Philosopher's Stone while working as state alchemists. Their quest uncovers a massive, terrifying conspiracy that threatens their entire country.",Action
"A teenager with the ability to see ghosts accidentally absorbs the powers of a Soul Reaper during a Hollow attack. Forced to take over her duties, he begins defending humanity from evil spirits and guiding departed souls to the afterlife. His new role soon pulls him into massive conflicts involving spiritual realms and ancient organizations.",Action
"After his family is slaughtered by a demon and his sister is transformed into one, a kind-hearted boy resolves to find a cure. He undergoes grueling training to join a secretive organization dedicated to hunting these monstrous creatures. Armed with a special blade and breathing techniques, he faces increasingly powerful foes on his tragic journey.",Action
"In a world where hunters battle monsters in magical dungeons, the weakest hunter of all miraculously survives a deadly double dungeon. He awakens with a unique system that allows him to level up his stats and abilities infinitely. He rapidly ascends the ranks, transforming from a frail weakling into an unstoppable powerhouse.",Action
"A destitute young man pays off his deceased father's immense debt by hunting devils with his pet chainsaw devil. After being betrayed and killed, he merges with his pet, gaining the ability to transform his body parts into chainsaws. He is then recruited by a government agency to hunt dangerous devils while pursuing basic human desires.",Action
"An ordinary man trains so hard he goes bald and becomes a superhero capable of defeating any enemy with a single punch. Despite his overwhelming power, he struggles with extreme boredom and a lack of recognition from the hero association. He navigates the bureaucratic world of professional heroes while searching for a worthy opponent.",Action
