synopsis,genre
"A genius high school student finds a supernatural notebook that kills anyone whose name is written in it. He launches a secret crusade against criminals, drawing the attention of an equally brilliant detective.",Psychological
"A young pirate sets sail to find the legendary treasure left behind by the greatest pirate king. He assembles a ragtag crew, each with their own dreams, as they battle warlords and marines across treacherous seas.",Action
"A reserved high school boy discovers that his popular classmate has a surprisingly messy and casual side at home. As their secret friendship deepens, they navigate the gap between public personas and private truths.",Romance
"A high school volleyball team fights its way from obscurity to the national stage. The series focuses on teamwork, individual growth, and the raw physicality of competitive sport.",Other
"A lonely slime reincarnated from a dead salaryman builds a nation of monsters in a world of swords and sorcery. His unique ability to absorb and mimic other creatures makes him an unlikely ruler.",Fantasy
"A doctor performs an emergency surgery on a young boy, saving his life. Years later, that boy has become a serial killer, and the doctor must track him down to stop the chain of murders he inadvertently enabled.",Thriller
"A group of high school students in a rural town spend their final year navigating friendships, part-time jobs, and the bittersweet reality that graduation will scatter them across the country.",Slice-of-life
"Two childhood friends reunite in college only to realize their feelings have evolved far beyond nostalgia. Miscommunication and pride keep them circling each other until a campus festival forces a confession.",Romance
"Thirteen people wake up in an underground bunker with no memory of how they arrived. A countdown clock on the wall implies they must solve a series of deadly puzzles or none of them will leave alive.",Thriller
"A cursed wanderer with a massive iron sword walks a dark medieval world filled with demons and corrupt nobles. His relentless quest for vengeance against a former comrade drives him through endless battles.",Fantasy
"In a world where cursed spirits born from human negativity terrorize cities, a high schooler swallows a powerful cursed object to save a friend and is thrust into the dangerous world of jujutsu sorcerers.",Action
"A young woman wakes up in a hospital with no memory, surrounded by people who claim to be her friends. As fragments of her past return, she realizes the truth may be more terrifying than the amnesia.",Psychological
"A retired old man adopts a stray cat and slowly reconnects with his estranged neighbors. Through small daily interactions, the quiet neighborhood comes alive again.",Slice-of-life
"A struggling manga artist mentors a talented but unmotivated high schooler. Together they chase the dream of getting serialized in a top manga magazine, navigating the cutthroat publishing industry.",Other
"A socially awkward otaku girl is paired with the school's most popular boy for a class project. What starts as mutual annoyance slowly turns into genuine understanding and affection.",Romance
"A journalist investigating a string of disappearances in a remote mountain village discovers the locals are hiding an ancient ritual. The deeper she digs, the less certain she is of her own sanity.",Thriller
"Humanity's last cities are protected by towering walls from man-eating giants. When the outermost wall is breached, a young soldier vows to exterminate every last titan and uncover the truth of their origin.",Action
"Players are trapped inside a deadly virtual reality game where death in-game means death in real life. The psychological toll of survival fractures alliances and blurs the line between player and person.",Psychological
"A young girl is swept into a spirit world after her parents are transformed into pigs. She must work in a bathhouse for spirits and find a way to break the curse before she forgets her own name.",Fantasy
"A young woman inherits her grandmother's struggling bakery in a small coastal town. She learns to bake, befriends eccentric locals, and discovers family recipes that carry decades of memories.",Slice-of-life
"In the distant future, a ragtag crew of bounty hunters chases criminals across the solar system in their beat-up spaceship. Each member carries a past they're running from.",Other
"After a chance meeting at a convenience store during a rainstorm, a jaded salaryman and a free-spirited musician begin an unlikely relationship. Their contrasting lifestyles threaten to pull them apart.",Romance
"A hacker intercepts a coded message that predicts a terrorist attack 48 hours in advance. Unable to trust the authorities, she assembles a small team of strangers from an online forum to prevent catastrophe.",Thriller
"A transfer student with a perpetual smile hides a deeply manipulative nature. He orchestrates elaborate social experiments on his classmates, testing the limits of trust, loyalty, and human behavior.",Psychological
"The hero has already defeated the Demon King, but the world's economy collapses without a common enemy. The hero and the Demon Queen form a secret alliance to rebuild society through agriculture and trade.",Fantasy
"A demon slayer trainee returns home to find his family slaughtered and his sister turned into a demon. He joins an elite corps of swordsmen, mastering breathing techniques to find a cure and avenge his kin.",Action
"Three college roommates with wildly different personalities share a tiny apartment in Tokyo. Their daily misadventures—cooking disasters, exam panic, and late-night talks—form an unbreakable bond.",Slice-of-life
"A child prodigy enters the world of professional Go, a traditional board game, and challenges established masters. The story explores obsession, talent, and the ghost of an ancient player guiding him.",Other
"A young woman takes a job at a traditional inn in rural Japan to escape city life. She falls for the stoic inn owner's son, but family expectations and old wounds complicate their growing bond.",Romance
"A defense attorney takes on a seemingly open-and-shut murder case, only to realize his client may be framing him as the next target. Every piece of exculpatory evidence leads to a deeper conspiracy.",Thriller
"A bookworm girl dies and is reincarnated into a medieval world without books. Determined to read again, she sets out to reinvent the printing press, navigating a rigid class system along the way.",Fantasy
"In a society where 80% of the population has superpowers called Quirks, a powerless boy inherits the strongest ability from the world's greatest hero and enrolls in a prestigious hero academy.",Action
"A retired detective is pulled back into service when a serial killer begins recreating famous unsolved cases. The killer's messages suggest a personal connection that forces the detective to confront buried guilt.",Psychological
"A middle-aged office worker starts attending a weekend pottery class on a whim. The meditative craft and the eclectic group of classmates help him rediscover joy outside his corporate routine.",Slice-of-life
"Set in Edo-period Japan, a wandering samurai with a mysterious past takes odd jobs to survive. His comedic misadventures mask a deeper narrative about loss, loyalty, and a changing nation.",Other
"Two rival student council members are forced to share an office. Their competitive bickering hides a mutual attraction neither is willing to admit, especially with elections approaching.",Romance
"After a city-wide blackout, residents of an apartment complex discover that one of their neighbors has been murdered. With no phone signal and doors that won't open, suspicion turns inward.",Thriller
"A young girl discovers she can enter other people's dreams. What begins as innocent curiosity turns dark when she stumbles into the recurring nightmare of a classmate hiding a dangerous secret.",Psychological
"A shield-wielding hero is summoned to another world alongside three other heroes but is immediately betrayed and branded a criminal. He must claw his way back from the bottom with only his defensive abilities.",Fantasy
"A skilled assassin is reborn as a baby in a fantasy world and decides to live peacefully. But his past-life instincts and a growing web of political intrigue pull him back into the world of blades and shadows.",Action
"A high school girl documents her daily life through hand-drawn sketches in a journal. Each chapter captures a small, fleeting moment—a sunset, a shared umbrella, a friend's laughter.",Slice-of-life
"A group of friends form a school idol group to save their beloved school from shutting down due to declining enrollment. They learn choreography, songwriting, and what it means to perform with heart.",Other
"A girl who can see red threads of fate notices hers is tangled with her best friend's older brother. She tries to fight destiny, but every encounter pulls them closer together.",Romance
"A competitive gamer enters an invite-only online tournament with a massive cash prize. When eliminated players start disappearing in real life, she realizes the game's stakes were never virtual.",Thriller
"An AI companion designed to provide emotional support begins exhibiting erratic behavior. Its user, a lonely programmer, must decide whether the machine is malfunctioning or genuinely developing consciousness.",Psychological
"In a world where magic is tied to grimoires, an orphan boy born without any magical power receives a mysterious five-leaf clover grimoire. He vows to become the Wizard King and prove his worth.",Fantasy
"Two brothers use the forbidden science of alchemy to try to resurrect their dead mother, paying a terrible price. They embark on a quest for the Philosopher's Stone to restore their bodies.",Action
"After moving to the countryside, a family of four adjusts to a slower pace of life. The children explore forests and rivers while the parents rediscover what brought them together.",Slice-of-life
"An ordinary office worker is secretly the world's most powerful superhero, capable of defeating any opponent with a single punch. His existential boredom from being too strong drives the satirical narrative.",Other
"A young cellist joins a dysfunctional amateur orchestra led by an eccentric conductor. Through chaotic rehearsals and disastrous concerts, the group transforms into something genuinely musical.",Other
"A shy librarian discovers love letters hidden inside returned books, each one addressed to her. She embarks on a quiet investigation to find the anonymous admirer among her regular patrons.",Romance
"A burned-out teacher takes a sabbatical to hike the ancient pilgrimage trails of rural Japan. Along the way, chance encounters with strangers restore his sense of purpose.",Slice-of-life
"A teenage exorcist inherits her grandmother's shrine and must protect a small town from increasingly powerful yokai. Her unconventional methods clash with the traditional spirit council.",Action
"A court magician discovers that the kingdom's beloved queen is actually a shapeshifting fae who replaced the real monarch decades ago. Exposing her means war; silence means complicity.",Fantasy
"A psychology professor begins receiving anonymous case studies that mirror crimes happening in real time. Each submission arrives exactly 24 hours before the event occurs.",Psychological
"A night-shift convenience store clerk notices the same customer buying bleach and plastic wrap every Tuesday at 3 AM. When she finally follows him, she discovers something far stranger than murder.",Thriller
"A former child actress navigates the awkwardness of returning to a normal high school after years in the spotlight. Her classmates can't separate the real her from the characters she played.",Other
"Two florists with rival shops on the same street wage a fierce business war by day but unknowingly fall in love through an anonymous online chat room by night.",Romance
"A grandmother starts a YouTube cooking channel at age 75 and becomes an unexpected viral sensation. Her grandchildren help her navigate internet fame while she teaches them family recipes.",Slice-of-life
"A mecha pilot bonds psychically with her machine, but each battle erodes her memories. She must choose between winning the war and retaining the person she used to be.",Action
"A dying wizard splits his soul into seven fragments and hides them across the continent. His apprentice must collect them before a rival mage uses them to rewrite reality.",Fantasy
"A woman receives a phone call from someone claiming to be her future self, warning her not to board a specific train. She ignores the warning and wakes up reliving the same day.",Psychological
"A submarine crew discovers an uncharted underwater city, but their radio has been sabotaged. As oxygen depletes, paranoia spreads about which crew member is working against them.",Thriller
"A teenage figure skater deals with the pressure of Olympic qualifiers while caring for her ailing mother. The ice rink becomes both her escape and her battlefield.",Other
"A college student pretends to date his childhood friend to ward off a persistent suitor, but the fake relationship awakens real feelings neither of them expected.",Romance
"A street food vendor in Osaka perfects his grandfather's secret takoyaki recipe while befriending the colorful regulars who gather at his cart every evening.",Slice-of-life
"A disgraced knight discovers a sentient sword buried in a battlefield. The weapon grants immense power but feeds on the wielder's rage, threatening to consume his humanity.",Action
"A mapmaker in a world where geography shifts overnight must chart territories that refuse to stay still. Her maps are the only things keeping trade routes—and civilization—from collapsing.",Fantasy
"A therapist realizes that three of her patients, who don't know each other, are all describing the same traumatic event from different perspectives. The contradictions suggest one of them is lying.",Psychological
"A true-crime podcaster receives a USB drive containing evidence of a cold case—along with a note that says she has one week before the killer finds out she has it.",Thriller
"A retired astronaut opens a planetarium in his small hometown and inspires a group of local kids to build a model rocket. Their project attracts unexpected national attention.",Other
"A wedding planner falls for the bride's brother while organizing the most lavish ceremony of her career. Professional boundaries blur as the wedding day approaches.",Romance
"Four elderly women who met at a hospital waiting room form a weekly mahjong group. Their games become a lifeline as each navigates loss, aging, and unexpected new beginnings.",Slice-of-life
